barcode	truth
DEMOEMPTY0001-1	empty
DEMOEMPTY0002-1	empty
DEMOEMPTY0003-1	empty
DEMOEMPTY0004-1	empty
DEMOEMPTY0005-1	empty
DEMOEMPTY0006-1	empty
DEMOEMPTY0007-1	empty
DEMOEMPTY0008-1	empty
DEMOEMPTY0009-1	empty
DEMOEMPTY0010-1	empty
DEMOEMPTY0011-1	empty
DEMOEMPTY0012-1	empty
DEMOEMPTY0013-1	empty
DEMOEMPTY0014-1	empty
DEMOEMPTY0015-1	empty
DEMOEMPTY0016-1	empty
DEMOEMPTY0017-1	empty
DEMOEMPTY0018-1	empty
DEMOEMPTY0019-1	empty
DEMOEMPTY0020-1	empty
DEMOEMPTY0021-1	empty
DEMOEMPTY0022-1	empty
DEMOEMPTY0023-1	empty
DEMOEMPTY0024-1	empty
DEMOEMPTY0025-1	empty
DEMOEMPTY0026-1	empty
DEMOEMPTY0027-1	empty
DEMOEMPTY0028-1	empty
DEMOEMPTY0029-1	empty
DEMOEMPTY0030-1	empty
DEMOEMPTY0031-1	empty
DEMOEMPTY0032-1	empty
DEMOEMPTY0033-1	empty
DEMOEMPTY0034-1	empty
DEMOEMPTY0035-1	empty
DEMOEMPTY0036-1	empty
DEMOEMPTY0037-1	empty
DEMOEMPTY0038-1	empty
DEMOEMPTY0039-1	empty
DEMOEMPTY0040-1	empty
DEMOEMPTY0041-1	empty
DEMOEMPTY0042-1	empty
DEMOEMPTY0043-1	empty
DEMOEMPTY0044-1	empty
DEMOEMPTY0045-1	empty
DEMOEMPTY0046-1	empty
DEMOEMPTY0047-1	empty
DEMOEMPTY0048-1	empty
DEMOEMPTY0049-1	empty
DEMOEMPTY0050-1	empty
DEMOEMPTY0051-1	empty
DEMOEMPTY0052-1	empty
DEMOEMPTY0053-1	empty
DEMOEMPTY0054-1	empty
DEMOEMPTY0055-1	empty
DEMOEMPTY0056-1	empty
DEMOEMPTY0057-1	empty
DEMOEMPTY0058-1	empty
DEMOEMPTY0059-1	empty
DEMOEMPTY0060-1	empty
DEMOEMPTY0061-1	empty
DEMOEMPTY0062-1	empty
DEMOEMPTY0063-1	empty
DEMOEMPTY0064-1	empty
DEMOEMPTY0065-1	empty
DEMOEMPTY0066-1	empty
DEMOEMPTY0067-1	empty
DEMOEMPTY0068-1	empty
DEMOEMPTY0069-1	empty
DEMOEMPTY0070-1	empty
DEMOEMPTY0071-1	empty
DEMOEMPTY0072-1	empty
DEMOEMPTY0073-1	empty
DEMOEMPTY0074-1	empty
DEMOEMPTY0075-1	empty
DEMOEMPTY0076-1	empty
DEMOEMPTY0077-1	empty
DEMOEMPTY0078-1	empty
DEMOEMPTY0079-1	empty
DEMOEMPTY0080-1	empty
DEMOEMPTY0081-1	empty
DEMOEMPTY0082-1	empty
DEMOEMPTY0083-1	empty
DEMOEMPTY0084-1	empty
DEMOEMPTY0085-1	empty
DEMOEMPTY0086-1	empty
DEMOEMPTY0087-1	empty
DEMOEMPTY0088-1	empty
DEMOEMPTY0089-1	empty
DEMOEMPTY0090-1	empty
DEMOEMPTY0091-1	empty
DEMOEMPTY0092-1	empty
DEMOEMPTY0093-1	empty
DEMOEMPTY0094-1	empty
DEMOEMPTY0095-1	empty
DEMOEMPTY0096-1	empty
DEMOEMPTY0097-1	empty
DEMOEMPTY0098-1	empty
DEMOEMPTY0099-1	empty
DEMOEMPTY0100-1	empty
DEMOEMPTY0101-1	empty
DEMOEMPTY0102-1	empty
DEMOEMPTY0103-1	empty
DEMOEMPTY0104-1	empty
DEMOEMPTY0105-1	empty
DEMOEMPTY0106-1	empty
DEMOEMPTY0107-1	empty
DEMOEMPTY0108-1	empty
DEMOEMPTY0109-1	empty
DEMOEMPTY0110-1	empty
DEMOEMPTY0111-1	empty
DEMOEMPTY0112-1	empty
DEMOEMPTY0113-1	empty
DEMOEMPTY0114-1	empty
DEMOEMPTY0115-1	empty
DEMOEMPTY0116-1	empty
DEMOEMPTY0117-1	empty
DEMOEMPTY0118-1	empty
DEMOEMPTY0119-1	empty
DEMOEMPTY0120-1	empty
DEMOEMPTY0121-1	empty
DEMOEMPTY0122-1	empty
DEMOEMPTY0123-1	empty
DEMOEMPTY0124-1	empty
DEMOEMPTY0125-1	empty
DEMOEMPTY0126-1	empty
DEMOEMPTY0127-1	empty
DEMOEMPTY0128-1	empty
DEMOEMPTY0129-1	empty
DEMOEMPTY0130-1	empty
DEMOEMPTY0131-1	empty
DEMOEMPTY0132-1	empty
DEMOEMPTY0133-1	empty
DEMOEMPTY0134-1	empty
DEMOEMPTY0135-1	empty
DEMOEMPTY0136-1	empty
DEMOEMPTY0137-1	empty
DEMOEMPTY0138-1	empty
DEMOEMPTY0139-1	empty
DEMOEMPTY0140-1	empty
DEMOEMPTY0141-1	empty
DEMOEMPTY0142-1	empty
DEMOEMPTY0143-1	empty
DEMOEMPTY0144-1	empty
DEMOEMPTY0145-1	empty
DEMOEMPTY0146-1	empty
DEMOEMPTY0147-1	empty
DEMOEMPTY0148-1	empty
DEMOEMPTY0149-1	empty
DEMOEMPTY0150-1	empty
DEMOEMPTY0151-1	empty
DEMOEMPTY0152-1	empty
DEMOEMPTY0153-1	empty
DEMOEMPTY0154-1	empty
DEMOEMPTY0155-1	empty
DEMOEMPTY0156-1	empty
DEMOEMPTY0157-1	empty
DEMOEMPTY0158-1	empty
DEMOEMPTY0159-1	empty
DEMOEMPTY0160-1	empty
DEMOEMPTY0161-1	empty
DEMOEMPTY0162-1	empty
DEMOEMPTY0163-1	empty
DEMOEMPTY0164-1	empty
DEMOEMPTY0165-1	empty
DEMOEMPTY0166-1	empty
DEMOEMPTY0167-1	empty
DEMOEMPTY0168-1	empty
DEMOEMPTY0169-1	empty
DEMOEMPTY0170-1	empty
DEMOEMPTY0171-1	empty
DEMOEMPTY0172-1	empty
DEMOEMPTY0173-1	empty
DEMOEMPTY0174-1	empty
DEMOEMPTY0175-1	empty
DEMOEMPTY0176-1	empty
DEMOEMPTY0177-1	empty
DEMOEMPTY0178-1	empty
DEMOEMPTY0179-1	empty
DEMOEMPTY0180-1	empty
DEMOEMPTY0181-1	empty
DEMOEMPTY0182-1	empty
DEMOEMPTY0183-1	empty
DEMOEMPTY0184-1	empty
DEMOEMPTY0185-1	empty
DEMOEMPTY0186-1	empty
DEMOEMPTY0187-1	empty
DEMOEMPTY0188-1	empty
DEMOEMPTY0189-1	empty
DEMOEMPTY0190-1	empty
DEMOEMPTY0191-1	empty
DEMOEMPTY0192-1	empty
DEMOEMPTY0193-1	empty
DEMOEMPTY0194-1	empty
DEMOEMPTY0195-1	empty
DEMOEMPTY0196-1	empty
DEMOEMPTY0197-1	empty
DEMOEMPTY0198-1	empty
DEMOEMPTY0199-1	empty
DEMOEMPTY0200-1	empty
DEMOEMPTY0201-1	empty
DEMOEMPTY0202-1	empty
DEMOEMPTY0203-1	empty
DEMOEMPTY0204-1	empty
DEMOEMPTY0205-1	empty
DEMOEMPTY0206-1	empty
DEMOEMPTY0207-1	empty
DEMOEMPTY0208-1	empty
DEMOEMPTY0209-1	empty
DEMOEMPTY0210-1	empty
DEMOEMPTY0211-1	empty
DEMOEMPTY0212-1	empty
DEMOEMPTY0213-1	empty
DEMOEMPTY0214-1	empty
DEMOEMPTY0215-1	empty
DEMOEMPTY0216-1	empty
DEMOEMPTY0217-1	empty
DEMOEMPTY0218-1	empty
DEMOEMPTY0219-1	empty
DEMOEMPTY0220-1	empty
DEMOEMPTY0221-1	empty
DEMOEMPTY0222-1	empty
DEMOEMPTY0223-1	empty
DEMOEMPTY0224-1	empty
DEMOEMPTY0225-1	empty
DEMOEMPTY0226-1	empty
DEMOEMPTY0227-1	empty
DEMOEMPTY0228-1	empty
DEMOEMPTY0229-1	empty
DEMOEMPTY0230-1	empty
DEMOEMPTY0231-1	empty
DEMOEMPTY0232-1	empty
DEMOEMPTY0233-1	empty
DEMOEMPTY0234-1	empty
DEMOEMPTY0235-1	empty
DEMOEMPTY0236-1	empty
DEMOEMPTY0237-1	empty
DEMOEMPTY0238-1	empty
DEMOEMPTY0239-1	empty
DEMOEMPTY0240-1	empty
DEMOEMPTY0241-1	empty
DEMOEMPTY0242-1	empty
DEMOEMPTY0243-1	empty
DEMOEMPTY0244-1	empty
DEMOEMPTY0245-1	empty
DEMOEMPTY0246-1	empty
DEMOEMPTY0247-1	empty
DEMOEMPTY0248-1	empty
DEMOEMPTY0249-1	empty
DEMOEMPTY0250-1	empty
