cell_id,sample,condition,batch,cell_type
C1_cell001,C1,control,run_1,CD4 T
C1_cell002,C1,control,run_1,CD4 T
C1_cell003,C1,control,run_1,CD4 T
C1_cell004,C1,control,run_1,CD4 T
C1_cell005,C1,control,run_1,CD4 T
C1_cell006,C1,control,run_1,CD4 T
C1_cell007,C1,control,run_1,CD4 T
C1_cell008,C1,control,run_1,CD4 T
C1_cell009,C1,control,run_1,CD4 T
C1_cell010,C1,control,run_1,CD4 T
C1_cell011,C1,control,run_1,CD4 T
C1_cell012,C1,control,run_1,CD4 T
C1_cell013,C1,control,run_1,CD4 T
C1_cell014,C1,control,run_1,CD4 T
C1_cell015,C1,control,run_1,CD4 T
C1_cell016,C1,control,run_1,CD4 T
C1_cell017,C1,control,run_1,CD4 T
C1_cell018,C1,control,run_1,CD4 T
C1_cell019,C1,control,run_1,CD4 T
C1_cell020,C1,control,run_1,CD4 T
C1_cell021,C1,control,run_1,Monocyte
C1_cell022,C1,control,run_1,Monocyte
C1_cell023,C1,control,run_1,Monocyte
C1_cell024,C1,control,run_1,Monocyte
C1_cell025,C1,control,run_1,Monocyte
C1_cell026,C1,control,run_1,Monocyte
C1_cell027,C1,control,run_1,Monocyte
C1_cell028,C1,control,run_1,Monocyte
C1_cell029,C1,control,run_1,Monocyte
C1_cell030,C1,control,run_1,Monocyte
C2_cell001,C2,control,run_1,CD4 T
C2_cell002,C2,control,run_1,CD4 T
C2_cell003,C2,control,run_1,CD4 T
C2_cell004,C2,control,run_1,CD4 T
C2_cell005,C2,control,run_1,CD4 T
C2_cell006,C2,control,run_1,CD4 T
C2_cell007,C2,control,run_1,CD4 T
C2_cell008,C2,control,run_1,CD4 T
C2_cell009,C2,control,run_1,CD4 T
C2_cell010,C2,control,run_1,CD4 T
C2_cell011,C2,control,run_1,CD4 T
C2_cell012,C2,control,run_1,CD4 T
C2_cell013,C2,control,run_1,CD4 T
C2_cell014,C2,control,run_1,CD4 T
C2_cell015,C2,control,run_1,CD4 T
C2_cell016,C2,control,run_1,CD4 T
C2_cell017,C2,control,run_1,CD4 T
C2_cell018,C2,control,run_1,CD4 T
C2_cell019,C2,control,run_1,CD4 T
C2_cell020,C2,control,run_1,CD4 T
C2_cell021,C2,control,run_1,Monocyte
C2_cell022,C2,control,run_1,Monocyte
C2_cell023,C2,control,run_1,Monocyte
C2_cell024,C2,control,run_1,Monocyte
C2_cell025,C2,control,run_1,Monocyte
C2_cell026,C2,control,run_1,Monocyte
C2_cell027,C2,control,run_1,Monocyte
C2_cell028,C2,control,run_1,Monocyte
C2_cell029,C2,control,run_1,Monocyte
C2_cell030,C2,control,run_1,Monocyte
C3_cell001,C3,control,run_1,CD4 T
C3_cell002,C3,control,run_1,CD4 T
C3_cell003,C3,control,run_1,CD4 T
C3_cell004,C3,control,run_1,CD4 T
C3_cell005,C3,control,run_1,CD4 T
C3_cell006,C3,control,run_1,CD4 T
C3_cell007,C3,control,run_1,CD4 T
C3_cell008,C3,control,run_1,CD4 T
C3_cell009,C3,control,run_1,CD4 T
C3_cell010,C3,control,run_1,CD4 T
C3_cell011,C3,control,run_1,CD4 T
C3_cell012,C3,control,run_1,CD4 T
C3_cell013,C3,control,run_1,CD4 T
C3_cell014,C3,control,run_1,CD4 T
C3_cell015,C3,control,run_1,CD4 T
C3_cell016,C3,control,run_1,CD4 T
C3_cell017,C3,control,run_1,CD4 T
C3_cell018,C3,control,run_1,CD4 T
C3_cell019,C3,control,run_1,CD4 T
C3_cell020,C3,control,run_1,CD4 T
C3_cell021,C3,control,run_1,Monocyte
C3_cell022,C3,control,run_1,Monocyte
C3_cell023,C3,control,run_1,Monocyte
C3_cell024,C3,control,run_1,Monocyte
C3_cell025,C3,control,run_1,Monocyte
C3_cell026,C3,control,run_1,Monocyte
C3_cell027,C3,control,run_1,Monocyte
C3_cell028,C3,control,run_1,Monocyte
