cell_id,sample,subject,condition,batch,cell_type
D01_cont_cell001,D01_cont,D01,control,B1,CD4 T
D01_cont_cell002,D01_cont,D01,control,B1,CD8 T
D01_cont_cell003,D01_cont,D01,control,B1,Monocyte
D01_cont_cell004,D01_cont,D01,control,B1,CD4 T
D01_cont_cell005,D01_cont,D01,control,B1,CD8 T
D01_cont_cell006,D01_cont,D01,control,B1,Monocyte
D01_cont_cell007,D01_cont,D01,control,B1,CD4 T
D01_cont_cell008,D01_cont,D01,control,B1,CD8 T
D01_cont_cell009,D01_cont,D01,control,B1,Monocyte
D01_cont_cell010,D01_cont,D01,control,B1,CD4 T
D01_cont_cell011,D01_cont,D01,control,B1,CD8 T
D01_cont_cell012,D01_cont,D01,control,B1,Monocyte
D01_cont_cell013,D01_cont,D01,control,B1,CD4 T
D01_cont_cell014,D01_cont,D01,control,B1,CD8 T
D01_cont_cell015,D01_cont,D01,control,B1,Monocyte
D01_cont_cell016,D01_cont,D01,control,B1,CD4 T
D01_cont_cell017,D01_cont,D01,control,B1,CD8 T
D01_cont_cell018,D01_cont,D01,control,B1,Monocyte
D01_cont_cell019,D01_cont,D01,control,B1,CD4 T
D01_cont_cell020,D01_cont,D01,control,B1,CD8 T
D01_cont_cell021,D01_cont,D01,control,B1,Monocyte
D01_cont_cell022,D01_cont,D01,control,B1,CD4 T
D01_cont_cell023,D01_cont,D01,control,B1,CD8 T
D01_cont_cell024,D01_cont,D01,control,B1,Monocyte
D01_cont_cell025,D01_cont,D01,control,B1,CD4 T
D01_cont_cell026,D01_cont,D01,control,B1,CD8 T
D01_cont_cell027,D01_cont,D01,control,B1,Monocyte
D01_cont_cell028,D01_cont,D01,control,B1,CD4 T
D01_cont_cell029,D01_cont,D01,control,B1,CD8 T
D01_cont_cell030,D01_cont,D01,control,B1,Monocyte
D01_cont_cell031,D01_cont,D01,control,B1,CD4 T
D01_cont_cell032,D01_cont,D01,control,B1,CD8 T
D01_cont_cell033,D01_cont,D01,control,B1,Monocyte
D01_cont_cell034,D01_cont,D01,control,B1,CD4 T
D01_cont_cell035,D01_cont,D01,control,B1,CD8 T
D01_cont_cell036,D01_cont,D01,control,B1,Monocyte
D01_stim_cell001,D01_stim,D01,stimulated,B1,CD4 T
D01_stim_cell002,D01_stim,D01,stimulated,B1,CD8 T
D01_stim_cell003,D01_stim,D01,stimulated,B1,Monocyte
D01_stim_cell004,D01_stim,D01,stimulated,B1,CD4 T
D01_stim_cell005,D01_stim,D01,stimulated,B1,CD8 T
D01_stim_cell006,D01_stim,D01,stimulated,B1,Monocyte
D01_stim_cell007,D01_stim,D01,stimulated,B1,CD4 T
D01_stim_cell008,D01_stim,D01,stimulated,B1,CD8 T
D01_stim_cell009,D01_stim,D01,stimulated,B1,Monocyte
D01_stim_cell010,D01_stim,D01,stimulated,B1,CD4 T
D01_stim_cell011,D01_stim,D01,stimulated,B1,CD8 T
D01_stim_cell012,D01_stim,D01,stimulated,B1,Monocyte
D01_stim_cell013,D01_stim,D01,stimulated,B1,CD4 T
D01_stim_cell014,D01_stim,D01,stimulated,B1,CD8 T
D01_stim_cell015,D01_stim,D01,stimulated,B1,Monocyte
D01_stim_cell016,D01_stim,D01,stimulated,B1,CD4 T
D01_stim_cell017,D01_stim,D01,stimulated,B1,CD8 T
D01_stim_cell018,D01_stim,D01,stimulated,B1,Monocyte
D01_stim_cell019,D01_stim,D01,stimulated,B1,CD4 T
D01_stim_cell020,D01_stim,D01,stimulated,B1,CD8 T
D01_stim_cell021,D01_stim,D01,stimulated,B1,Monocyte
D01_stim_cell022,D01_stim,D01,stimulated,B1,CD4 T
D01_stim_cell023,D01_stim,D01,stimulated,B1,CD8 T
D01_stim_cell024,D01_stim,D01,stimulated,B1,Monocyte
D01_stim_cell025,D01_stim,D01,stimulated,B1,CD4 T
D01_stim_cell026,D01_stim,D01,stimulated,B1,CD8 T
D01_stim_cell027,D01_stim,D01,stimulated,B1,Monocyte
D01_stim_cell028,D01_stim,D01,stimulated,B1,CD4 T
D01_stim_cell029,D01_stim,D01,stimulated,B1,CD8 T
D01_stim_cell030,D01_stim,D01,stimulated,B1,Monocyte
D01_stim_cell031,D01_stim,D01,stimulated,B1,CD4 T
D01_stim_cell032,D01_stim,D01,stimulated,B1,CD8 T
D01_stim_cell033,D01_stim,D01,stimulated,B1,Monocyte
D01_stim_cell034,D01_stim,D01,stimulated,B1,CD4 T
D01_stim_cell035,D01_stim,D01,stimulated,B1,CD8 T
D01_stim_cell036,D01_stim,D01,stimulated,B1,Monocyte
D02_cont_cell001,D02_cont,D02,control,B2,CD4 T
D02_cont_cell002,D02_cont,D02,control,B2,CD8 T
D02_cont_cell003,D02_cont,D02,control,B2,Monocyte
D02_cont_cell004,D02_cont,D02,control,B2,CD4 T
D02_cont_cell005,D02_cont,D02,control,B2,CD8 T
D02_cont_cell006,D02_cont,D02,control,B2,Monocyte
D02_cont_cell007,D02_cont,D02,control,B2,CD4 T
D02_cont_cell008,D02_cont,D02,control,B2,CD8 T
D02_cont_cell009,D02_cont,D02,control,B2,Monocyte
D02_cont_cell010,D02_cont,D02,control,B2,CD4 T
D02_cont_cell011,D02_cont,D02,control,B2,CD8 T
D02_cont_cell012,D02_cont,D02,control,B2,Monocyte
D02_cont_cell013,D02_cont,D02,control,B2,CD4 T
D02_cont_cell014,D02_cont,D02,control,B2,CD8 T
D02_cont_cell015,D02_cont,D02,control,B2,Monocyte
D02_cont_cell016,D02_cont,D02,control,B2,CD4 T
D02_cont_cell017,D02_cont,D02,control,B2,CD8 T
D02_cont_cell018,D02_cont,D02,control,B2,Monocyte
D02_cont_cell019,D02_cont,D02,control,B2,CD4 T
D02_cont_cell020,D02_cont,D02,control,B2,CD8 T
D02_cont_cell021,D02_cont,D02,control,B2,Monocyte
D02_cont_cell022,D02_cont,D02,control,B2,CD4 T
D02_cont_cell023,D02_cont,D02,control,B2,CD8 T
D02_cont_cell024,D02_cont,D02,control,B2,Monocyte
D02_cont_cell025,D02_cont,D02,control,B2,CD4 T
D02_cont_cell026,D02_cont,D02,control,B2,CD8 T
D02_cont_cell027,D02_cont,D02,control,B2,Monocyte
D02_cont_cell028,D02_cont,D02,control,B2,CD4 T
D02_cont_cell029,D02_cont,D02,control,B2,CD8 T
D02_cont_cell030,D02_cont,D02,control,B2,Monocyte
D02_cont_cell031,D02_cont,D02,control,B2,CD4 T
D02_cont_cell032,D02_cont,D02,control,B2,CD8 T
D02_cont_cell033,D02_cont,D02,control,B2,Monocyte
D02_cont_cell034,D02_cont,D02,control,B2,CD4 T
D02_cont_cell035,D02_cont,D02,control,B2,CD8 T
D02_cont_cell036,D02_cont,D02,control,B2,Monocyte
D02_stim_cell001,D02_stim,D02,stimulated,B2,CD4 T
D02_stim_cell002,D02_stim,D02,stimulated,B2,CD8 T
D02_stim_cell003,D02_stim,D02,stimulated,B2,Monocyte
